INPUT NAME, N, P, R, DISTRIBUTE_READ, TIME, TIME(DD), TIME(BS), TIME(PV), TIME(FE), TIME(FE-PV), SPEEDUP, SPEEDUP(DD), SPEEDUP(BS), SPEEDUP(PV), SPEEDUP(FE), SPEEDUP(FE-PV) 
matrix_1024_0.txt, 1024, 4, 32, 0, 16203.426758, 5204.761719, 6401.229004, 595.495178, 4597.436035, 4001.940857, 0.724640, 0.961787, 0.698691, 0.322993, 0.956984, 1.051323
matrix_1024_0.txt, 1024, 8, 32, 0, 20079.289307, 3702.814941, 13298.984375, 684.489563, 3077.489990, 2393.000427, 0.364735, 1.351910, 0.336302, 0.280999, 1.429630, 1.758183
matrix_2048_0.txt, 2048, 1, 32, 0, 104719.878906, 36431.945312, 34287.386719, 817.483521, 34000.546875, 33183.063354, 1.0, 1.0, 1.0, 1.0
matrix_128_0.txt, 128, 1, 64, 0, 35.500148, 18.418964, 9.225137, 0.897496, 7.856047, 6.958551, 1.0, 1.0, 1.0, 1.0
matrix_128_0.txt, 128, 2, 64, 0, 79.898355, 52.658161, 14.989145, 6.681739, 12.251049, 5.569310, 0.357208, 0.349784, 0.615445, 0.134246, 0.641251, 1.249526
matrix_256_0.txt, 256, 1, 64, 0, 216.264904, 96.390953, 62.262028, 3.978289, 57.611923, 53.633634, 1.0, 1.0, 1.0, 1.0
matrix_256_0.txt, 256, 2, 64, 0, 195.969513, 90.743195, 55.601219, 17.415640, 49.625099, 32.209459, 1.044683, 1.062239, 1.119796, 0.228415, 1.160945, 1.665163
matrix_256_0.txt, 256, 4, 64, 0, 289.489334, 121.627136, 87.839157, 31.722471, 80.023041, 48.300570, 0.780581, 0.792512, 0.708818, 0.125400, 0.719943, 1.110422
matrix_1024_0.txt, 1024, 16, 32, 0, 10194.337158, 3782.203125, 3293.063965, 772.334839, 3119.070068, 2346.735229, 1.283727, 1.323533, 1.358151, 0.249038, 1.410572, 1.792845
matrix_512_0.txt, 512, 1, 64, 0, 1841.821777, 709.348999, 575.273865, 38.445404, 557.198914, 518.753510, 1.0, 1.0, 1.0, 1.0
